date,sentiment,responses
2017-02-03,negative,2
2017-02-03,neutral,6
2017-02-03,positive,2
2017-02-04,negative,12
2017-02-06,negative,6
2017-02-06,positive,18
2017-02-07,negative,18
2017-02-07,neutral,27
2017-02-07,positive,9
2017-02-08,neutral,24
2017-02-08,positive,6
2017-02-09,negative,12
2017-02-09,neutral,18
2017-02-09,positive,30
2017-02-10,negative,9
2017-02-10,neutral,12
2017-02-10,positive,18
2017-02-11,neutral,3
2017-02-11,positive,9
2017-02-13,negative,6
2017-02-13,neutral,27
2017-02-13,positive,6
2017-02-14,negative,2
2017-02-14,neutral,73
2017-02-14,positive,43
2017-02-15,negative,24
2017-02-15,neutral,45
2017-02-15,positive,55
2017-02-16,neutral,32
2017-02-16,positive,72
2017-02-17,neutral,33
2017-02-17,positive,34
2017-02-18,negative,5
2017-02-18,neutral,5
2017-02-18,positive,5
2017-02-20,negative,10
2017-02-20,neutral,20
2017-02-21,neutral,5
2017-02-21,positive,15
2017-02-22,negative,4
2017-02-22,neutral,8
2017-02-22,positive,6
2017-02-23,neutral,34
2017-02-23,positive,12
2017-02-24,negative,6
2017-02-24,neutral,48
2017-02-24,positive,12
2017-02-25,neutral,2
2017-02-25,positive,6
2017-02-26,neutral,2
2017-02-27,neutral,10
2017-02-27,positive,4
2017-02-28,negative,4
2017-02-28,neutral,18
2017-02-28,positive,24
2017-03-01,neutral,32
2017-03-01,positive,20
2017-03-02,negative,8
2017-03-02,neutral,19
2017-03-02,positive,4
2017-03-03,neutral,27
2017-03-03,positive,18
2017-03-04,neutral,6
2017-03-06,negative,3
2017-03-06,neutral,15
2017-03-06,positive,3
2017-03-07,negative,3
2017-03-07,neutral,48
2017-03-07,positive,14
2017-03-08,negative,16
2017-03-08,neutral,44
2017-03-08,positive,40
2017-03-09,negative,4
2017-03-09,neutral,16
2017-03-09,positive,6
2017-03-10,neutral,20
2017-03-10,positive,14
2017-03-11,negative,6
2017-03-11,neutral,3
2017-03-11,positive,6
2017-03-13,negative,6
2017-03-13,neutral,12
2017-03-13,positive,9
2017-03-14,negative,6
2017-03-14,neutral,15
2017-03-14,positive,21
2017-03-15,negative,8
2017-03-15,neutral,24
2017-03-15,positive,32
2017-03-16,negative,4
2017-03-16,neutral,8
2017-03-16,positive,6
2017-03-17,negative,2
2017-03-17,neutral,19
2017-03-17,positive,11
2017-03-18,negative,10
2017-03-18,neutral,5
2017-03-20,negative,12
2017-03-20,neutral,30
2017-03-20,positive,14
2017-03-21,neutral,12
2017-03-21,positive,2
2017-03-22,negative,5
2017-03-22,neutral,16
2017-03-22,positive,15
2017-03-23,negative,5
2017-03-23,neutral,20
2017-03-23,positive,30
2017-03-24,negative,15
2017-03-24,neutral,30
2017-03-24,positive,25
2017-03-25,negative,5
2017-03-25,neutral,10
2017-03-25,positive,5
2017-03-27,neutral,18
2017-03-27,positive,12
2017-03-28,negative,3
2017-03-28,neutral,12
2017-03-28,positive,3
2017-03-29,neutral,18
2017-03-29,positive,6
2017-03-30,negative,3
2017-03-30,neutral,3
2017-03-30,positive,3
2017-03-31,negative,15
2017-03-31,neutral,24
2017-03-31,positive,15
2017-04-01,neutral,18
2017-04-02,positive,6
2017-04-03,neutral,12
2017-04-04,neutral,64
2017-04-04,positive,49
2017-04-05,neutral,27
2017-04-05,positive,28
2017-04-06,negative,15
2017-04-06,neutral,10
2017-04-06,positive,25
2017-04-07,negative,7
2017-04-07,neutral,19
2017-04-07,positive,8
2017-04-10,negative,2
2017-04-10,neutral,4
2017-04-10,positive,2
2017-04-11,negative,9
2017-04-11,neutral,21
2017-04-11,positive,23
2017-04-12,negative,7
2017-04-12,neutral,42
2017-04-12,positive,21
2017-04-13,negative,6
2017-04-13,neutral,16
2017-04-13,positive,15
2017-04-14,negative,6
2017-04-14,neutral,6
2017-04-14,positive,9
2017-04-15,neutral,4
2017-04-15,positive,4
2017-04-17,negative,8
2017-04-17,neutral,20
2017-04-17,positive,12
2017-04-18,neutral,20
2017-04-18,positive,12
2017-04-19,neutral,21
2017-04-20,negative,3
2017-04-20,neutral,27
2017-04-20,positive,6
2017-04-21,negative,3
2017-04-21,neutral,21
2017-04-21,positive,11
2017-04-22,neutral,2
2017-04-22,positive,2
2017-04-24,neutral,12
2017-04-24,positive,4
2017-04-25,negative,10
2017-04-25,neutral,10
2017-04-25,positive,32
2017-04-26,neutral,78
2017-04-26,positive,24
2017-04-27,neutral,30
2017-04-27,positive,18
2017-04-28,negative,3
2017-04-28,neutral,27
2017-04-28,positive,12
2017-04-29,positive,6
2017-05-01,negative,7
2017-05-01,neutral,27
2017-05-01,positive,19
2017-05-02,negative,12
2017-05-02,neutral,12
2017-05-02,positive,12
2017-05-03,negative,16
2017-05-03,neutral,12
2017-05-03,positive,16
2017-05-04,negative,10
2017-05-04,neutral,20
2017-05-04,positive,7
2017-05-05,negative,11
2017-05-05,neutral,9
2017-05-05,positive,17
2017-05-06,negative,5
2017-05-06,neutral,10
2017-05-06,positive,5
2017-05-08,negative,10
2017-05-08,neutral,20
2017-05-08,positive,5
2017-05-09,negative,2
2017-05-09,neutral,31
2017-05-09,positive,14
2017-05-10,negative,6
2017-05-10,neutral,26
2017-05-10,positive,8
2017-05-11,negative,12
2017-05-11,neutral,69
2017-05-11,positive,24
2017-05-12,negative,10
2017-05-12,neutral,19
2017-05-12,positive,23
2017-05-13,positive,4
2017-05-14,neutral,8
2017-05-15,negative,12
2017-05-15,neutral,22
2017-05-15,positive,12
2017-05-16,negative,7
2017-05-16,neutral,15
2017-05-16,positive,14
2017-05-17,negative,14
2017-05-17,neutral,67
2017-05-17,positive,37
2017-05-18,negative,5
2017-05-18,neutral,28
2017-05-18,positive,20
2017-05-19,negative,6
2017-05-19,neutral,30
2017-05-19,positive,17
2017-05-20,neutral,5
2017-05-22,negative,5
2017-05-22,neutral,25
2017-05-22,positive,15
2017-05-23,neutral,40
2017-05-23,positive,5
2017-05-24,negative,10
2017-05-24,neutral,29
2017-05-24,positive,22
2017-05-25,negative,4
2017-05-25,neutral,16
2017-05-25,positive,6
2017-05-26,negative,5
2017-05-26,neutral,34
2017-05-26,positive,15
2017-05-27,positive,5
2017-05-29,negative,12
2017-05-29,neutral,17
2017-05-29,positive,10
2017-05-30,neutral,17
2017-05-30,positive,16
2017-05-31,negative,5
2017-05-31,neutral,35
2017-05-31,positive,20
2017-06-01,negative,12
2017-06-01,neutral,24
2017-06-01,positive,8
2017-06-02,negative,4
2017-06-02,neutral,36
2017-06-02,positive,20
2017-06-03,positive,8
2017-06-05,negative,4
2017-06-05,neutral,20
2017-06-05,positive,2
2017-06-06,negative,2
2017-06-06,neutral,16
2017-06-06,positive,15
2017-06-07,neutral,70
2017-06-07,positive,35
2017-06-08,negative,3
2017-06-08,neutral,21
2017-06-08,positive,3
2017-06-09,negative,9
2017-06-09,neutral,18
2017-06-09,positive,9
2017-06-10,neutral,3
2017-06-12,negative,3
2017-06-12,neutral,21
2017-06-12,positive,6
2017-06-13,neutral,24
2017-06-13,positive,9
2017-06-14,neutral,34
2017-06-14,positive,12
2017-06-15,negative,8
2017-06-15,neutral,8
2017-06-15,positive,16
2017-06-16,negative,12
2017-06-16,neutral,20
2017-06-17,neutral,6
2017-06-17,positive,3
2017-06-18,neutral,3
2017-06-19,negative,7
2017-06-19,neutral,20
2017-06-19,positive,24
2017-06-20,negative,28
2017-06-20,neutral,32
2017-06-20,positive,16
2017-06-21,negative,8
2017-06-21,neutral,4
2017-06-21,positive,10
2017-06-22,negative,5
2017-06-22,neutral,21
