date,sentiment,responses
2015-05-15,neutral,9
2015-05-15,positive,3
2015-05-16,negative,3
2015-05-16,neutral,3
2015-05-17,negative,3
2015-05-17,neutral,3
2015-05-18,negative,3
2015-05-18,neutral,6
2015-05-18,positive,3
2015-05-19,negative,21
2015-05-19,neutral,15
2015-05-20,negative,12
2015-05-20,neutral,30
2015-05-20,positive,6
2015-05-21,negative,9
2015-05-21,neutral,33
2015-05-22,neutral,18
2015-05-22,positive,3
2015-05-23,neutral,6
2015-05-23,positive,3
2015-05-24,negative,3
2015-05-25,negative,3
2015-05-25,neutral,3
2015-05-26,negative,3
2015-05-26,neutral,3
2015-05-26,positive,3
2015-05-27,negative,12
2015-05-27,neutral,15
2015-05-28,negative,12
2015-05-28,neutral,15
2015-05-29,negative,6
2015-05-29,neutral,13
2015-05-30,negative,4
2015-05-30,neutral,2
2015-05-31,negative,2
2015-06-01,neutral,4
2015-06-01,positive,4
2015-06-02,negative,4
2015-06-02,neutral,2
2015-06-03,neutral,36
2015-06-03,positive,12
2015-06-04,negative,21
2015-06-04,neutral,42
2015-06-05,negative,9
2015-06-05,neutral,15
2015-06-06,negative,3
2015-06-06,neutral,6
2015-06-07,neutral,3
2015-06-07,positive,3
2015-06-08,neutral,9
2015-06-08,positive,7
2015-06-09,negative,12
2015-06-09,neutral,16
2015-06-10,negative,4
2015-06-10,neutral,16
2015-06-11,neutral,8
2015-06-12,neutral,12
2015-06-12,positive,4
2015-06-15,neutral,8
2015-06-16,negative,4
2015-06-16,positive,8
2015-06-17,negative,8
2015-06-17,neutral,4
2015-06-18,negative,10
2015-06-18,neutral,9
2015-06-18,positive,9
2015-06-19,negative,5
2015-06-19,neutral,10
2015-06-19,positive,5
2015-06-20,negative,5
2015-06-21,positive,5
2015-06-22,neutral,5
2015-06-22,positive,10
2015-06-23,negative,10
2015-06-23,neutral,20
2015-06-23,positive,2
2015-06-24,negative,10
2015-06-24,neutral,6
2015-06-25,negative,8
2015-06-25,neutral,4
2015-06-25,positive,4
2015-06-26,negative,6
2015-06-26,neutral,24
2015-06-26,positive,6
2015-06-27,negative,6
2015-06-27,neutral,12
2015-06-28,negative,6
2015-06-28,positive,6
2015-06-29,neutral,18
2015-06-30,negative,18
2015-06-30,neutral,14
2015-06-30,positive,6
2015-07-01,negative,4
2015-07-01,neutral,10
2015-07-01,positive,2
2015-07-02,negative,4
2015-07-02,neutral,8
2015-07-02,positive,2
2015-07-03,negative,6
2015-07-03,neutral,2
